,dx,max_gz,mean_gz,label
0,134802914692,13.97,-2.816923077,b
1,231983818702,9.7,-3.207142857,b
2,120660228904,4.69,-1.779722222,b
3,216462055047,10.68,-2.759574468,b
4,88359777669,15.93,-1.371842105,b
5,309182900990,7.54,-3.142777778,b
6,166071003348,7.19,-3.918043478,b
7,197959484676,1.15,-2.672790698,b
8,67566808796,9.69,-0.1268965517,b
9,597831830765,4.87,-2.142881356,b
10,113412865602,19.49,-0.9008571429,b
11,85295977965,11.05,-2.690882353,b
12,177266360888,11.99,-2.539534884,b
13,113379108163,23.28,-1.6705,b
14,108204725069,12.74,-2.560833333,b
15,139219306717,4.93,-2.146666667,b
16,239456751012,4.8,-1.771555556,b
17,102171294351,10.76,-0.3137837838,b
18,119581390268,9.84,-4.0705,b
19,192595070026,5.9,-0.8471794872,b
20,40086205250,10.66,0.9225925926,b
21,182755602797,11.89,-1.911860465,b
22,134178708899,9.58,-2.38975,b
23,509908797632,9.25,-2.461428571,b
24,158276876430,9.01,-2.077,b
25,15281016735,8.91,-0.7585185185,b
26,86985950987,13.62,0.106875,b
27,104119524257,7.8,-3.447179487,b
28,138820170605,15.3,-2.876842105,b
29,126548477288,14.72,-1.867631579,b
30,113912884212,7.25,-0.9131428571,b
31,67185834882,12.91,-0.8261290323,b
32,237625564711,5.42,-0.5844186047,b
33,126806738264,18.51,-1.802926829,b
34,211034256956,19.54,-2.314347826,b
35,119158670240,13.78,-0.2821621622,b
36,165668914964,14.66,-2.78804878,b
37,184974833737,1.92,-2.791428571,b
38,151749865487,13.27,-1.473589744,b
39,162565409631,18.89,0.1446341463,b
40,152279965725,7.79,-0.9576315789,b
41,172243785989,9.22,-3.424285714,b
42,55749580848,14.88,0.8744827586,b
43,81131930317,11.1,-0.4284375,b
44,134776680323,13.97,-2.532380952,b
45,149872097586,10.23,-2.865641026,b
46,91488468666,21.52,-1.119705882,b
47,173163126376,4.3,-1.179473684,b
48,102483173408,11.35,-1.409393939,b
49,99285812518,13.55,-0.8748484848,b
50,81248324048,8.22,-3.0425,b
51,97724092385,7.97,-0.6608571429,b
52,185505735721,11.21,-1.947619048,b
53,176679317961,15.1,-1.15625,b
54,128416034175,8.78,-1.72725,b
55,90971523276,16.42,-1.012121212,b
56,185365241159,15.02,-2.175681818,b
57,241050089168,8.56,-2.654666667,b
58,88949142519,5.9,-4.517428571,b
59,110005074784,9.36,-0.4902941176,b
60,99080008538,16.58,-1.442857143,b
61,78525554500,14.63,1.529677419,b
62,200311810597,8.67,-1.671190476,b
63,202982441938,9.63,-1.435227273,b
64,123736341838,10.73,-1.652285714,b
65,151960491766,14.71,-2.928863636,b
66,137215579750,12.88,-1.320277778,b
67,180010447028,15.03,-1.158571429,b
68,98554610360,6.31,-2.416571429,b
69,97789456917,9.67,-1.925945946,b
70,77204199433,7.3,-1.178055556,b
71,113831722520,7.68,-2.796363636,b
72,111692816885,12.8,-3.583783784,b
73,247442569391,5.36,-1.38255814,b
74,165072714572,10.15,-1.90675,b
75,214917243089,12.55,-2.670416667,b
76,380661274593,7.66,-2.371372549,b
77,56557900433,14.11,-1.238333333,b
78,104385254804,13.89,-2.398684211,b
79,86359824560,10.84,-2.741764706,b
80,166740029015,7.02,-3.196888889,b
81,146833371407,23.24,-1.0335,b
82,195421137513,7.97,-1.261555556,b
83,136533716655,8.88,-1.391842105,b
84,229370625290,11.51,-1.273777778,b
85,112385663779,13.94,-3.783513514,b
86,123123791632,9.11,-3.934888889,b
87,166338485592,2.25,-2.6235,b
88,111035904579,7.89,-1.293333333,b
89,136413365013,13.74,-0.09486486486,b
90,138276586808,5.9,-1.917,b
91,166828268775,12.92,-2.143095238,b
92,166708124293,8.4,-3.183902439,b
93,86188904835,7.1,-1.134545455,b
94,189039041633,12.6,-1.812857143,b
95,147784746111,9.36,-3.148095238,b
96,117718819066,18.24,-2.319285714,b
97,135300540997,8.28,-2.175405405,b
98,93970407699,5.77,-2.001515152,b
99,304854120879,4.03,-1.664042553,b
100,124060079413,7.34,-0.9627777778,b
101,76192727980,12.66,-0.3603125,b
102,209999675560,6.87,-2.880222222,b
103,97663656752,17.13,-2.542894737,b
104,238381012041,9.36,-2.370888889,b
105,146970564117,14.66,-2.487692308,b
106,67717821173,16.8,-0.8140625,b
107,144599558775,18.6,-2.40325,b
108,150757651480,5.23,-2.645116279,b
109,205876092971,14.35,-2.776595745,b
110,275539383193,10.55,-1.7632,b
111,88738935122,9.41,-2.186764706,b
112,328064027563,5.58,-2.539,b
113,114482240643,7.31,-1.024444444,b
114,98186955619,10.88,-1.314117647,b
115,171517797557,7.15,-2.149285714,b
116,229555948499,11.7,-2.578478261,b
117,155832714385,6.7,-1.712368421,b
118,124142072721,7.56,-1.698780488,b
119,252049451019,8,-2.39,b
120,67161825292,12.15,-0.466,b
121,81476890302,13.29,-2.536363636,b
122,120035100488,4.26,-2.102,b
123,44104519045,10.08,-0.9180769231,b
124,81651797707,19.7,0.616,b
125,77410764450,13.86,-2.108787879,b
126,155671400146,8.16,-2.75097561,b
127,127015833357,10.73,-0.5111111111,b
128,265591632612,11.31,-0.001836734694,b
129,125437350034,11.43,-2.250769231,b
130,152979466625,12.86,-1.839565217,b
131,99959755894,12.14,-1.022647059,b
132,303955966842,1.84,-2.768,b
133,110014218775,16.85,-3.063846154,b
134,123406111421,7.81,-2.409230769,b
135,146492448215,10.84,-2.221463415,b
136,151864509456,13.28,-3.141136364,b
137,82625142541,12.72,-1.774411765,b
138,213095424842,10.66,-3.087826087,b
139,120002493439,9.41,-3.731714286,b
140,139081371955,5.81,-1.721315789,b
141,101465708325,15.62,0.7727777778,b
142,170312160488,13.87,-2.4025,b
143,136396043627,8.25,-2.345,b
144,55411914518,3.53,-3.239,b
145,218144461314,15.86,-2.431632653,b
146,264948314755,12.36,-2.38625,b
147,103303864638,21.79,-0.1873529412,b
148,96738417019,11.94,0.5619444444,b
149,185259278029,4.91,-2.470731707,b
150,105923770340,5.56,-3.037222222,b
151,166864530794,11.08,-2.158809524,b
152,78938427227,21.71,-1.9153125,b
153,234392435258,11.16,-1.157555556,b
154,153291034933,10.85,-2.35225,b
155,82586985039,11.95,-2.966060606,b
156,123893756870,10.1,0.9960606061,b
157,155686805373,7.51,-1.607948718,b
158,156724376643,13.81,-2.565111111,b
159,132503301191,6.97,-1.071842105,b
160,88096799927,13.24,0.9296969697,b
161,810713708806,10.19,-2.716231884,b
162,101119964227,9.36,-2.987837838,b
163,224142788246,3.11,-2.86673913,b
164,106270485244,27.69,-2.005263158,b
165,101070725710,23.34,-2.505897436,b
166,141577140445,6.51,-0.6046153846,b
167,221479839857,7.99,-2.719148936,b
168,72911740511,11.44,0.3729032258,b
169,253066926975,9.59,-0.831627907,b
170,105923424850,10.51,-1.898611111,b
171,141716268945,21.11,-0.2673684211,b
172,109142572682,10.47,-2.320810811,b
173,189726336214,8.18,-2.442340426,b
174,102659430366,5.81,-1.148181818,b
175,88002687364,22.47,-3.377179487,b
176,76580285057,16.76,-2.763888889,b
177,188450672450,12.36,-1.005348837,b
178,75700396732,12.41,-1.655151515,b
179,70245745420,8.52,-0.2138709677,b
180,138663937081,12.65,-1.067368421,b
181,164286653787,6.28,-5.510408163,b
182,177103431561,11.1,-1.005,b
183,83825265500,7.17,-1.2171875,b
184,123458731378,19.73,-0.3319444444,b
185,167587938232,8.17,-1.817857143,b
186,47026306414,2.11,-3.336333333,b
187,211913452767,7.99,-2.805555556,b
188,62594370189,9.57,0.9541935484,b
189,104529776593,21.1,-2.90225,b
190,92182668753,10.73,-2.228888889,b
191,108061999126,11.8,-1.86,b
192,27918422107,14.36,-0.604375,b
193,156888371253,10.23,-2.825238095,b
194,233314423210,6.4,-1.849302326,b
195,95726406204,14.78,-2.268888889,b
196,182092248529,14.64,-2.186590909,b
197,173599365463,5.19,-2.503695652,b
